bangalore	2021	1	21	17.6	27.6
bangalore	2021	2	10	16.9	30.3
bangalore	2021	3	0	19.5	34.0
bangalore	2021	4	118	22.1	34.2
bangalore	2021	5	130	22.1	31.8
bangalore	2021	6	92	20.9	29.4
bangalore	2021	7	203	20.6	27.9
bangalore	2021	8	100	20.4	28.1
bangalore	2021	9	187	20.5	28.3
bangalore	2021	10	367	20.7	28.4
bangalore	2021	11	251	19.6	25.3
bangalore	2021	12	6	17.6	27.4
bangalore	2022	1	3	17.5	28.8
bangalore	2022	2	0	17.5	31.0
bangalore	2022	3	16	20.4	33.1
bangalore	2022	4	135	22.4	34.0
bangalore	2022	5	270	21.1	29.9
bangalore	2022	6	208	20.7	29.5
bangalore	2022	7	191	20.4	27.2
bangalore	2022	8	274	20.3	27.5
bangalore	2022	9	297	20.2	28.1
bangalore	2022	10	323	19.3	27.8
bangalore	2022	11	57	18.6	26.7
bangalore	2022	12	88	17.7	26.6
bangalore	2023	1	0	15.5	28.2
bangalore	2023	2	0	16.8	31.2
bangalore	2023	3	8	19.9	32.5
bangalore	2023	4	7	22.1	34.5
bangalore	2023	5	304	22.0	32.2
bangalore	2023	6	74	21.6	30.4
bangalore	2023	7	142	20.6	27.6
bangalore	2023	8	12	21.2	30.3
bangalore	2023	9	242	20.9	29.0
bangalore	2023	10	96	20.4	30.0
bangalore	2023	11	107	19.9	28.3
bangalore	2023	12	1	20.7	27.7
